occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
2182,2182 -  Miljö- och hälsoskyddsinspektörer,84.5,100.9,46.7,9.5,11,6,3467,2418,1049,98,97,97,100,99,93,91,94,98,95
2213,2213 -  AT-läkare,60.9,89.9,20.3,4.1,5.6,1.9,2724,1591,1133,98,97,97,100,100,98,97,98,100,100
2421,2421 -  Lednings- och organisationsutvecklare,44.8,69.5,28.8,4.1,6.6,2.5,17198,6766,10432,87,92,91,92,89,87,92,92,91,86
2422,2422 -  Planerare och utredare m.fl.,85.7,106.2,49.3,8.4,10.6,4.6,62135,39711,22424,92,92,92,92,93,91,91,92,92,93
2612,2612 -  Domare,44.2,57,24,5.1,6.7,2.6,1608,982,626,98,98,97,96,97,91,90,89,90,91
2621,2621 -  Museiintendenter m.fl.,71,86.1,44,7.8,9.7,4.3,1844,1185,659,85,97,..,..,..,83,99,99,101,98
3115,3115 -  Ingenjörer och tekniker inom kemi och kemiteknik,66.2,99.8,49.5,6.6,9.9,5,3234,1072,2162,..,98,95,88,90,98,101,96,89,93
3431,3431 -  Fotografer,57.2,85.2,41,5.1,8.2,3.3,2080,763,1317,101,107,..,..,..,99,100,93,91,105
3513,3513 -  Systemadministratörer,59.4,85.4,49.7,6,8,5.2,3484,948,2536,..,93,94,..,89,99,93,94,87,91
4113,4113 -  Backofficepersonal m.fl.,64.6,83.3,33.6,7.2,9.2,3.8,1981,1237,744,..,..,..,92,..,94,102,98,94,90
5222,"5222 -  Butikssäljare, dagligvaror",94.3,112,57.6,8.7,10.3,5.3,69671,46996,22675,100,98,100,99,97,99,98,98,98,97
6121,6121 -  Uppfödare och skötare av lantbrukets husdjur,69,99.5,57.6,7.6,10.6,6.5,11524,3127,8397,..,..,..,100,103,94,96,103,97,104
7319,7319 -  Musikinstrumentmakare och övriga konsthantverkare,124.6,209.5,73.6,10.8,17,7.1,674,253,421,..,..,..,..,..,..,..,..,..,..
8132,"8132 -  Maskinoperatörer, kemisktekniska och fotografiska produkter",107.4,164.4,84.6,9.3,13.4,7.7,1555,444,1111,95,..,..,..,..,95,93,93,95,98
1511,"1511 -  Klinik- och verksamhetschefer inom hälsa och sjukvård, nivå 1",62.4,72.2,39.4,6.1,7.2,3.6,2627,1841,786,81,81,86,85,86,72,70,78,82,79
2113,2113 -  Kemister,50.9,75.4,23.2,6.2,10,2,2847,1511,1336,93,96,95,96,97,90,94,93,96,95
2419,2419 -  Övriga ekonomer,62.4,78.3,35.9,6.6,8.7,3.1,12589,7879,4710,86,88,86,..,86,83,88,84,..,86
2611,2611 -  Advokater,29.3,53.9,15.3,3.4,5.7,2.1,2459,891,1568,..,..,..,..,..,..,87,94,..,96
2643,"2643 -  Översättare, tolkar och lingvister m.fl.",88.6,104,55.2,8.8,10.6,5,1773,1211,562,..,..,..,99,92,98,99,109,102,93
3312,3312 -  Banktjänstemän,75.8,97.7,40,7.5,10.1,3.4,23496,14587,8909,81,81,80,81,82,79,80,80,81,82
4223,4223 -  Telefonister,115.3,137.1,60.1,13,14.9,8.2,4422,3174,1248,97,95,..,..,..,100,100,100,100,102
5230,5230 -  Kassapersonal m.fl.,90.2,104.9,54.3,8.8,10.1,5.6,13423,9519,3904,..,97,96,..,..,107,97,96,95,106
6113,6113 -  Trädgårdsanläggare m.fl.,116.2,149.8,105.8,10.6,14.5,9.4,12286,2918,9368,..,..,..,..,95,101,95,96,94,97
1321,"1321 -  Inköps-, logistik- och transportchefer, nivå 1",37.1,65.2,29.2,3.6,4.9,3.2,3392,751,2641,95,94,..,93,91,97,97,86,93,90
1731,"1731 -  Chefer inom handel, nivå 1",55,91.2,34.7,5.5,9.4,3.2,1528,548,980,86,86,86,85,95,86,85,88,88,92
2212,2212 -  ST-läkare,79.7,110.1,37.5,7.2,10.5,2.6,8671,5043,3628,96,96,96,98,98,97,96,96,98,97
3119,3119 -  Övriga ingenjörer och tekniker,60.9,84.2,54.2,5.5,7.5,4.9,16328,3635,12693,92,92,95,94,92,93,93,95,94,92
3359,3359 -  Övriga handläggare,95.2,112.6,53.7,10.2,12,5.9,16107,11339,4768,95,96,96,96,95,86,86,87,88,88
3360,3360 -  Poliser,92.3,144.2,66,7.3,12.3,4.7,15867,5340,10527,98,98,98,97,97,95,95,96,96,96
3522,"3522 -  Ljus-, ljud och scentekniker",54.2,87.9,48.3,6.3,6.8,6.2,1827,273,1554,101,..,..,..,..,93,97,96,96,101
4226,4226 -  Marknadsundersökare och intervjuare,113.7,137.3,61.9,12.6,15.2,6.9,932,641,291,..,..,..,..,..,..,103,105,..,105
4410,4410 -  Biblioteks- och arkivassistenter m.fl.,115.8,132.9,69.4,12.6,14.4,7.7,3576,2611,965,100,101,101,100,102,97,102,101,99,102
5151,5151 -  Städledare och husfruar,122.5,135.1,85.9,11,12.3,7.1,2187,1628,559,91,89,86,..,90,85,90,85,85,90
7323,7323 -  Bokbindare m.fl.,79.2,92.7,73.9,7.9,12.2,6.2,1276,356,920,..,94,93,93,93,89,94,93,94,95
9411,9411 -  Pizzabagare m.fl.,52.9,79.5,46.8,5.7,7.1,5.4,3404,629,2775,..,..,..,..,..,..,..,..,..,..
1331,"1331 -  Forsknings- och utvecklingschefer, nivå 1",33.2,41.2,30.6,2.6,3.9,2.2,2593,631,1962,102,99,99,101,96,100,97,95,99,94
1352,"1352 -  Fastighets- och förvaltningschefer, nivå 2",45.1,62.3,40.5,5.2,7.3,4.6,2769,594,2175,..,..,..,..,..,..,..,..,93,98
1732,"1732 -  Chefer inom handel, nivå 2",56.6,92.2,43,6.6,10.3,5.1,8350,2322,6028,..,..,..,..,..,85,105,..,111,97
2114,2114 -  Geologer och geofysiker m.fl.,53.4,90.5,34.1,5.8,9.9,3.6,1292,442,850,96,96,90,94,94,94,94,89,92,92
2141,2141 -  Civilingenjörsyrken inom logistik och produktionsplanering,48.8,68.6,40.1,3.7,6.2,2.6,4321,1327,2994,94,93,92,94,92,98,91,93,93,91
2241,2241 -  Psykologer,112.2,130.5,60.6,13.2,15.2,7.6,7316,5403,1913,96,102,99,98,100,95,102,99,100,100
2341,2341 -  Grundskollärare,92.9,104.6,57.5,9,10.2,5.5,100236,75383,24853,100,100,100,101,101,102,102,103,104,104
2342,2342 -  Fritidspedagoger,138,157.2,89,13.3,15.6,7.3,17618,12650,4968,100,100,100,100,100,102,102,103,103,103
2352,2352 -  Studie- och yrkesvägledare,109.3,118.3,75.2,12.2,13.3,8.3,4446,3515,931,98,98,100,100,100,98,97,100,101,101
2413,2413 -  Finansanalytiker och investeringsrådgivare m.fl.,36.8,77.6,16.1,3.3,5.8,2,4597,1547,3050,80,75,75,78,74,79,75,74,76,70
3355,3355 -  Brandingenjörer och byggnadsinspektörer m.fl.,66.7,115.3,45.3,7.1,11.9,5,2863,876,1987,94,96,96,95,95,94,97,97,95,95
4114,4114 -  Marknads- och försäljningsassistenter,76.5,87.3,48.4,7.8,9.2,4.2,10545,7614,2931,83,87,90,94,92,85,92,91,97,94
4224,4224 -  Hotellreceptionister m.fl.,75.3,86.6,42.4,6.8,7.8,4.1,7287,5425,1862,100,98,99,..,..,101,96,99,98,96
5342,"5342 -  Vårdare, boendestödjare",153.7,175.2,93.7,16.5,19,9.8,60116,44294,15822,100,100,100,100,101,101,100,101,101,102
